epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,278.575,0.64396,0.56779,0.0008,0.95796,0.99107,0.99167,0.90629,0.456,0.54902,0.00097,0.0011486,0.0011486,0.0011486
45,280.771,0.62639,0.56135,0.00079,0.99373,0.95652,0.99333,0.90618,0.46236,0.50466,0.00091,0.0011288,0.0011288,0.0011288
46,283.638,0.63794,0.58607,0.0008,0.99838,1,0.995,0.88379,0.5518,0.47401,0.00112,0.001109,0.001109,0.001109
47,286.081,0.6487,0.56234,0.00078,0.99919,1,0.995,0.89397,0.51817,0.44076,0.00104,0.0010892,0.0010892,0.0010892
48,288.97,0.69078,0.54211,0.00085,0.99158,1,0.995,0.89205,0.5093,0.44911,0.00101,0.0010694,0.0010694,0.0010694
49,291.706,0.69911,0.49422,0.0008,0.9884,1,0.995,0.88175,0.5689,0.4764,0.00113,0.0010496,0.0010496,0.0010496
50,294.716,0.64346,0.54095,0.00082,0.95428,1,0.99333,0.91777,0.4246,0.4106,0.00088,0.0010298,0.0010298,0.0010298
51,297.595,0.60066,0.48504,0.00078,0.9936,1,0.995,0.88458,0.61043,0.43031,0.00125,0.00101,0.00101,0.00101
52,299.787,0.65976,0.48859,0.0008,1,0.99914,0.995,0.88655,0.56599,0.42809,0.00124,0.0009902,0.0009902,0.0009902
53,302.045,0.65552,0.49126,0.00081,1,0.99461,0.995,0.88901,0.49395,0.39654,0.001,0.0009704,0.0009704,0.0009704
54,304.335,0.66269,0.46608,0.00079,0.99662,1,0.995,0.90644,0.47485,0.36983,0.00092,0.0009506,0.0009506,0.0009506
55,306.625,0.66382,0.472,0.00082,1,0.94996,0.99333,0.85107,0.66065,0.44492,0.00128,0.0009308,0.0009308,0.0009308
56,308.723,0.71416,0.46043,0.00087,0.99497,0.95652,0.99333,0.85662,0.63899,0.48554,0.00129,0.000911,0.000911,0.000911
57,310.912,0.68992,0.48327,0.00083,1,0.9655,0.995,0.8949,0.48999,0.38119,0.00096,0.0008912,0.0008912,0.0008912
58,313.35,0.61716,0.45783,0.00078,0.99343,1,0.995,0.8923,0.54148,0.35578,0.00107,0.0008714,0.0008714,0.0008714
59,315.531,0.60631,0.43735,0.00075,0.99815,1,0.995,0.88063,0.53967,0.35528,0.0011,0.0008516,0.0008516,0.0008516
60,317.759,0.61872,0.39906,0.00075,1,0.99711,0.995,0.91015,0.43802,0.3142,0.00086,0.0008318,0.0008318,0.0008318
61,319.847,0.59602,0.39457,0.00072,1,1,0.995,0.89373,0.52856,0.3287,0.00104,0.000812,0.000812,0.000812
62,322.044,0.6055,0.38737,0.00069,0.99651,1,0.995,0.8962,0.52719,0.32322,0.00104,0.0007922,0.0007922,0.0007922
63,324.375,0.58042,0.36921,0.0007,0.99584,1,0.995,0.92653,0.44327,0.32987,0.00088,0.0007724,0.0007724,0.0007724
64,327.108,0.65069,0.39485,0.00082,0.9847,0.95652,0.99333,0.90922,0.4484,0.35968,0.00094,0.0007526,0.0007526,0.0007526
65,329.591,0.57139,0.37277,0.00068,1,0.98523,0.995,0.90428,0.43037,0.34274,0.0009,0.0007328,0.0007328,0.0007328
66,332.177,0.6035,0.35828,0.00076,0.99723,1,0.995,0.90558,0.49509,0.28872,0.00096,0.000713,0.000713,0.000713
67,334.648,0.59815,0.35173,0.00073,0.99727,1,0.995,0.91628,0.48236,0.26902,0.00093,0.0006932,0.0006932,0.0006932
68,337.131,0.56958,0.37774,0.00069,0.99716,1,0.995,0.91905,0.45183,0.25303,0.00092,0.0006734,0.0006734,0.0006734
69,342.98,0.60751,0.35378,0.0007,0.99706,1,0.995,0.91724,0.44844,0.25049,0.00088,0.0006536,0.0006536,0.0006536
70,345.872,0.58429,0.33071,0.00068,0.99701,1,0.995,0.91332,0.44512,0.2542,0.00085,0.0006338,0.0006338,0.0006338
71,348.381,0.62098,0.35749,0.00074,0.99632,1,0.995,0.90948,0.43147,0.25456,0.00084,0.000614,0.000614,0.000614
72,350.764,0.57191,0.32559,0.00069,0.99713,1,0.995,0.92742,0.42077,0.25135,0.00084,0.0005942,0.0005942,0.0005942
73,353.357,0.57447,0.32898,0.00069,0.99732,1,0.995,0.92064,0.43215,0.24796,0.00086,0.0005744,0.0005744,0.0005744
74,355.663,0.51618,0.30944,0.00063,0.9949,1,0.995,0.91056,0.40707,0.28102,0.0008,0.0005546,0.0005546,0.0005546
75,362.154,0.55359,0.3251,0.00062,0.9576,0.98229,0.99333,0.897,0.45166,0.33424,0.00087,0.0005348,0.0005348,0.0005348
76,371.473,0.53961,0.32169,0.00068,0.95662,0.95893,0.99333,0.89465,0.46998,0.34021,0.00095,0.000515,0.000515,0.000515
77,374.713,0.54796,0.30538,0.00068,0.9376,1,0.99167,0.88255,0.48603,0.34418,0.00097,0.0004952,0.0004952,0.0004952
78,376.936,0.53955,0.31351,0.00066,0.99039,1,0.995,0.92831,0.42481,0.32227,0.00083,0.0004754,0.0004754,0.0004754
79,379.377,0.52799,0.31047,0.00063,1,0.98897,0.995,0.91899,0.42521,0.3112,0.00082,0.0004556,0.0004556,0.0004556
80,383.471,0.54614,0.29742,0.00063,0.97354,1,0.995,0.92819,0.38192,0.32517,0.00079,0.0004358,0.0004358,0.0004358
81,392.752,0.48317,0.29906,0.0006,1,0.954,0.995,0.92179,0.41262,0.34257,0.00081,0.000416,0.000416,0.000416
82,398.688,0.55026,0.29916,0.00068,0.91925,0.99017,0.98451,0.86503,0.54286,0.39069,0.00104,0.0003962,0.0003962,0.0003962
83,400.925,0.63536,0.32385,0.00075,0.95637,0.9532,0.98647,0.86623,0.51878,0.36423,0.00104,0.0003764,0.0003764,0.0003764
84,403.275,0.50937,0.30208,0.00064,0.95792,0.99017,0.99167,0.91217,0.44988,0.30857,0.00094,0.0003566,0.0003566,0.0003566
85,405.551,0.56746,0.30314,0.00068,1,0.98763,0.995,0.90361,0.43594,0.29694,0.00089,0.0003368,0.0003368,0.0003368
86,407.886,0.61268,0.31292,0.0007,1,0.98777,0.995,0.92288,0.42962,0.27785,0.00084,0.000317,0.000317,0.000317
87,410.127,0.56295,0.28727,0.00068,0.99617,1,0.995,0.93756,0.39791,0.24284,0.0008,0.0002972,0.0002972,0.0002972
88,412.887,0.5204,0.29932,0.00065,0.99663,1,0.995,0.91405,0.41634,0.22916,0.00084,0.0002774,0.0002774,0.0002774
89,415.275,0.58638,0.28156,0.00069,0.99677,1,0.995,0.90351,0.4372,0.22491,0.00087,0.0002576,0.0002576,0.0002576
90,417.944,0.54661,0.2838,0.00066,0.9973,1,0.995,0.91738,0.43287,0.21328,0.00086,0.0002378,0.0002378,0.0002378
91,453.475,0.52383,0.36255,0.00075,0.99737,1,0.995,0.91487,0.44916,0.20975,0.00087,0.000218,0.000218,0.000218
92,455.749,0.51693,0.34504,0.00071,0.99742,1,0.995,0.90195,0.4629,0.21246,0.00088,0.0001982,0.0001982,0.0001982
93,458.021,0.53442,0.33016,0.00075,0.99733,1,0.995,0.90118,0.43282,0.21262,0.00086,0.0001784,0.0001784,0.0001784
94,460.01,0.48808,0.32613,0.00069,0.99739,1,0.995,0.90471,0.41591,0.20406,0.00083,0.0001586,0.0001586,0.0001586
95,462.084,0.47775,0.33566,0.00067,0.99755,1,0.995,0.9235,0.41348,0.19689,0.00082,0.0001388,0.0001388,0.0001388
96,464.122,0.48495,0.31463,0.00069,0.99756,1,0.995,0.92783,0.41816,0.19836,0.00081,0.000119,0.000119,0.000119
97,466.071,0.46256,0.34236,0.00067,0.99755,1,0.995,0.92907,0.40536,0.19601,0.00082,9.92e-05,9.92e-05,9.92e-05
98,468.288,0.48517,0.32662,0.0007,0.99757,1,0.995,0.92703,0.41512,0.19929,0.00083,7.94e-05,7.94e-05,7.94e-05
99,470.237,0.45696,0.30795,0.00066,0.9976,1,0.995,0.91858,0.4059,0.1966,0.00083,5.96e-05,5.96e-05,5.96e-05
100,472.43,0.44116,0.29332,0.00062,0.99759,1,0.995,0.91858,0.4145,0.1978,0.00083,3.98e-05,3.98e-05,3.98e-05
